Application Name;Application Version;Application Publisher;Application Uninstall
1-Wire Drivers Version 4.03 x64;4.0.3;Maxim Integrated Products;MsiExec.exe /qn /norestart /X{A7F4ED14-F167-47EE-AF9A-43963500E1D9}
4D v12.4;12.04.0000;4D SAS;MsiExec.exe /qn /norestart /X{C614E025-173C-4739-8847-CEE1EF7EB297}
4D v16 R4 32-bit;16.4.216.566;4D;"""C:\Program Files (x86)\Common Files\Uninstall\unins000.exe"" /SILENT"
6000 Series Tools;5.7;Nom de votre société;MsiExec.exe /qn /norestart /X{B96B3A89-9979-4AF6-96E6-A75FEB86AEC4}
7-Zip 16.02;16.02;Igor Pavlov;"""C:\Program Files\7-Zip\Uninstall.exe"""
7-Zip 16.02 (x64);16.02;Igor Pavlov;"""C:\Program Files\7-Zip\Uninstall.exe"""
7-Zip 18.01 (x64 edition);18.01.00.0;Igor Pavlov;MsiExec.exe /qn /norestart /X{23170F69-40C1-2702-1801-000001000000}
7-Zip 18.05 (x64 edition);18.05.00.0;Igor Pavlov;MsiExec.exe /qn /norestart /X{23170F69-40C1-2702-1805-000001000000}
7-Zip 19.00 (x64);19.00;Igor Pavlov;"""C:\Program Files\7-Zip\Uninstall.exe"""
7-Zip 9.20;9.20;;"""C:\Program Files\7-Zip\Uninstall.exe"""
90227 OnTrak ABP Driver;1.1.9;Spacelabs Healthcare;MsiExec.exe /qn /norestart /X{2BA9AFF1-9390-4894-B78E-BA15552EB6EB}
Abbott USB Data Cable Installation;1.00.0000;Nom de votre société;"""C:\Program Files (x86)\InstallShield Installation Information\{95A7C713-EC82-48DC-A3E9-8D60C7FBBFEB}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
Abbott USB Data Cable Installation;1.00.0000;Nom de votre société;"""C:\Program Files\InstallShield Installation Information\{95A7C713-EC82-48DC-A3E9-8D60C7FBBFEB}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
AccelerometerP11;2.00.10.17;STMicroelectronics;"""C:\Program Files\InstallShield Installation Information\{87434D51-51DB-4109-B68F-A829ECDCF380}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
AccuLink;1.3.4.4204;GN Otometrics;"""C:\ProgramData\{47632965-F3A9-4DE3-982C-4F4C41323320}\acculink-1.3.4.4204.exe"" REMOVE=TRUE MODIFY=FALSE"
AccuLink;1.4.6.6605;GN Otometrics;"""C:\ProgramData\{8EFCD095-7AD6-4BD4-A173-CDBD9790E433}\AccuLink.exe"" REMOVE=TRUE MODIFY=FALSE"
ACS Unified PC/SC Driver 4.0.0.6;4.0.6;Advanced Card Systems Ltd.;MsiExec.exe /qn /norestart /X{09104D65-C3F4-412B-A857-2A662E5812B4}
ACS Unified PC/SC Driver 4.0.0.6;4.0.6;Advanced Card Systems Ltd.;MsiExec.exe /qn /norestart /X{7B08F739-5A58-4732-88D2-E3C000829C7C}
ActiveBarcode-Trial;6.2.0;ActiveBarcode.com;"""C:\Program Files (x86)\ActiveBarcode\unins000.exe"" /SILENT"
ActiveBarcode-Trial Object (x64);6.2.0.0;ActiveBarcode.com;MsiExec.exe /qn /norestart /X{85E0DF42-959D-4B79-A931-1FF0426A7E90}
ActiveBarcode-Trial Object (x86);6.2.0.0;ActiveBarcode.com;MsiExec.exe /qn /norestart /X{22FFB2C4-4A8D-4E52-B150-BC4189150A2A}
Adobe Acrobat 2017;17.011.30142;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-1033-FFFF-7760-0E1108756300}
Adobe Acrobat 2017;17.011.30143;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-1033-FFFF-7760-0E1108756300}
Adobe Acrobat 7.0 Professional - English, Français, Deutsch;7.0.0;Adobe Systems;msiexec /I {AC76BA86-1033-F400-7760-100000000002}
Adobe Acrobat DC (2015);15.006.30498;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-1033-FFFF-7760-0E0F06755100}
Adobe Acrobat Reader DC - Français;15.007.20033;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;15.020.20039;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;15.020.20042;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;15.023.20053;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;15.023.20056;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;15.023.20070;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;17.009.20044;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;17.009.20058;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;18.011.20035;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;18.011.20036;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;18.011.20038;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;18.011.20040;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;18.011.20058;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;18.011.20063;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;19.008.20071;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;19.008.20074;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;19.008.20080;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;19.008.20081;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;19.010.20064;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;19.010.20069;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;19.010.20091;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;19.010.20098;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;19.010.20099;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;19.012.20034;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC - Français;19.012.20035;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AC0F074E4100}
Adobe Acrobat Reader DC MUI;15.007.20033;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-FFFF-7B44-AC0F074E4100}
Adobe Acrobat Reader DC MUI;15.008.20082;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-FFFF-7B44-AC0F074E4100}
Adobe Acrobat Reader DC MUI;15.010.20060;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-FFFF-7B44-AC0F074E4100}
Adobe Acrobat Reader DC MUI;15.023.20053;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-FFFF-7B44-AC0F074E4100}
Adobe Acrobat Reader DC MUI;15.023.20070;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-FFFF-7B44-AC0F074E4100}
Adobe Acrobat Reader DC MUI;19.010.20099;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-FFFF-7B44-AC0F074E4100}
Adobe Acrobat Reader DC MUI;19.012.20034;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-FFFF-7B44-AC0F074E4100}
Adobe Acrobat Reader DC MUI;19.012.20035;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-FFFF-7B44-AC0F074E4100}
Adobe Acrobat X Pro - English, Français, Deutsch;10.0.0;Adobe Systems;MsiExec.exe /qn /norestart /X{AC76BA86-1033-F400-7760-000000000005}
Adobe Acrobat X Pro - English, Français, Deutsch;10.1.16;Adobe Systems;MsiExec.exe /qn /norestart /X{AC76BA86-1033-F400-7760-000000000005}
Adobe Acrobat X Pro - English, Français, Deutsch;10.1.9;Adobe Systems;MsiExec.exe /qn /norestart /X{AC76BA86-1033-F400-7760-000000000005}
Adobe Acrobat XI Pro;11.0.00;Adobe Systems;MsiExec.exe /qn /norestart /X{AC76BA86-1033-FFFF-7760-000000000006}
Adobe Acrobat XI Standard;11.0.11;Adobe Systems;MsiExec.exe /qn /norestart /X{AC76BA86-1033-FFFF-BA7E-000000000006}
Adobe AIR;1.1.0.5790;Adobe Systems Inc.;"""C:\Program Files\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;22.0.0.153;Adobe Systems Incorporated;"""c:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;24.0.0.180;Adobe Systems Incorporated;"""c:\Program Files\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;25.0.0.134;Adobe Systems Incorporated;"""c:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;28.0.0.127;Adobe Systems Incorporated;"""c:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;29.0.0.112;Adobe Systems Incorporated;"""c:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;3.4.0.2710;Adobe Systems Incorporated;"""c:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;3.7.0.2090;Adobe Systems Incorporated;"""c:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;30.0.0.107;Adobe Systems Incorporated;"""c:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;31.0.0.96;Adobe Systems Incorporated;"""c:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;32.0.0.116;Adobe;"""c:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;32.0.0.125;Adobe;"""c:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;32.0.0.125;Adobe;"""c:\Program Files\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe AIR;32.0.0.89;Adobe Systems Incorporated;"""c:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe"" -arp:uninstall"
Adobe Creative Suite 4 Design Premium;4.0;Adobe Systems Incorporated;"""C:\Program Files (x86)\Common Files\Adobe\Installers\55230b0b70661df0f212e88f0b655f7\Setup.exe"" --uninstall=1"
Adobe Creative Suite 4 Design Premium;4.0;Adobe Systems Incorporated;"""C:\Program Files\Common Files\Adobe\Installers\55230b0b70661df0f212e88f0b655f7\Setup.exe"" --uninstall=1"
Adobe Flash Player 10 Plugin;10.0.2.54;Adobe Systems, Inc.;MsiExec.exe /qn /norestart /X{03DEEAD2-F3B7-45BF-9006-A25D015F00D2}
Adobe Flash Player 11 ActiveX;11.5.502.110;Adobe Systems Incorporated;"""C:\Windows\system32\Macromed\Flash\FlashUtil32_11_5_502_110_ActiveX.exe"" -maintain activex"
Adobe Flash Player 11 ActiveX;11.9.900.170;Adobe Systems Incorporated;"""C:\Windows\SysWOW64\Macromed\Flash\FlashUtil32_11_9_900_170_ActiveX.exe"" -maintain activex"
Adobe Flash Player 11 ActiveX 64-bit;11.2.202.235;Adobe Systems Incorporated;"""C:\Windows\system32\Macromed\Flash\FlashUtil64_11_2_202_235_ActiveX.exe"" -maintain activex"
Adobe Flash Player 11 Plugin;11.6.602.168;Adobe Systems Incorporated;"""C:\Windows\system32\Macromed\Flash\FlashUtil32_11_6_602_168_Plugin.exe"" -maintain plugin"
Adobe Flash Player 11 Plugin;11.9.900.117;Adobe Systems Incorporated;"""C:\Windows\system32\Macromed\Flash\FlashUtil32_11_9_900_117_Plugin.exe"" -maintain plugin"
Adobe Flash Player 17 ActiveX;17.0.0.188;Adobe Systems Incorporated;"""C:\Windows\system32\Macromed\Flash\FlashUtil32_17_0_0_188_ActiveX.exe"" -maintain activex"
Adobe Flash Player 17 NPAPI;17.0.0.188;Adobe Systems Incorporated;"""C:\Windows\system32\Macromed\Flash\FlashUtil32_17_0_0_188_Plugin.exe"" -maintain plugin"
Adobe Flash Player 20 ActiveX;20.0.0.306;Adobe Systems Incorporated;"""C:\Windows\SysWOW64\Macromed\Flash\FlashUtil32_20_0_0_306_ActiveX.exe"" -maintain activex"
Adobe Flash Player 20 NPAPI;20.0.0.286;Adobe Systems Incorporated;"""C:\Windows\system32\Macromed\Flash\FlashUtil32_20_0_0_286_Plugin.exe"" -maintain plugin"
Adobe Flash Player 20 NPAPI;20.0.0.286;Adobe Systems Incorporated;"""C:\Windows\SysWOW64\Macromed\Flash\FlashUtil32_20_0_0_286_Plugin.exe"" -maintain plugin"
Adobe Flash Player 20 NPAPI;20.0.0.306;Adobe Systems Incorporated;"""C:\Windows\SysWOW64\Macromed\Flash\FlashUtil32_20_0_0_306_Plugin.exe"" -maintain plugin"
Adobe Flash Player 23 ActiveX;23.0.0.162;Adobe Systems Incorporated;"""C:\Windows\SysWOW64\Macromed\Flash\FlashUtil32_23_0_0_162_ActiveX.exe"" -maintain activex"
Adobe Flash Player 23 NPAPI;23.0.0.162;Adobe Systems Incorporated;"""C:\Windows\SysWOW64\Macromed\Flash\FlashUtil32_23_0_0_162_Plugin.exe"" -maintain plugin"
Adobe Flash Player 26 ActiveX;26.0.0.131;Adobe Systems Incorporated;"""C:\windows\SysWOW64\Macromed\Flash\FlashUtil32_26_0_0_131_ActiveX.exe"" -maintain activex"
Adobe Flash Player 27 ActiveX;27.0.0.130;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{EC1EBF60-4B76-446B-B5C2-1A9BB3FA2F2F}
Adobe Flash Player 27 NPAPI;27.0.0.130;Adobe Systems Incorporated;"""C:\Windows\system32\Macromed\Flash\FlashUtil32_27_0_0_130_Plugin.exe"" -maintain plugin"
Adobe Flash Player 27 NPAPI;27.0.0.130;Adobe Systems Incorporated;"""C:\Windows\SysWOW64\Macromed\Flash\FlashUtil32_27_0_0_130_Plugin.exe"" -maintain plugin"
Adobe Flash Player 27 NPAPI;27.0.0.130;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{05E6D311-4793-44BE-ACA2-A50B5B5129AE}
Adobe Flash Player 27 NPAPI;27.0.0.187;Adobe Systems Incorporated;"""C:\windows\SysWOW64\Macromed\Flash\FlashUtil32_27_0_0_187_Plugin.exe"" -maintain plugin"
Adobe Flash Player 27 PPAPI;27.0.0.130;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{1E0228E7-7782-4C1F-855B-4B65831C080F}
Adobe Flash Player 31 NPAPI;31.0.0.108;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{187F37F1-B47C-41C8-ADBA-8774D5C63A18}
Adobe Flash Player 31 NPAPI;31.0.0.122;Adobe Systems Incorporated;"""C:\windows\SysWOW64\Macromed\Flash\FlashUtil32_31_0_0_122_Plugin.exe"" -maintain plugin"
Adobe Flash Player 32 NPAPI;32.0.0.171;Adobe;"""C:\windows\SysWOW64\Macromed\Flash\FlashUtil32_32_0_0_171_Plugin.exe"" -maintain plugin"
Adobe Flash Player 32 NPAPI;32.0.0.192;Adobe;"""C:\windows\SysWOW64\Macromed\Flash\FlashUtil32_32_0_0_192_Plugin.exe"" -maintain plugin"
Adobe Reader X (10.1.0) - Français;10.1.0;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AA1000000001}
Adobe Reader X (10.1.0) MUI;10.1.0;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-FFFF-7B44-AA0000000001}
Adobe Reader XI  MUI;11.0.00;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-FFFF-7B44-AB0000000001}
Adobe Reader XI (11.0.14) - Français;11.0.14;Adobe Systems Incorporated;MsiExec.exe /qn /norestart /X{AC76BA86-7AD7-1036-7B44-AB0000000001}
Adobe SVG Viewer 3.0;3.0;;"""C:\Program Files (x86)\Common Files\Adobe\SVG Viewer 3.0\Uninstall\Winstall.exe"" -u -fC:\Program Files (x86)\Common Files\Adobe\SVG Viewer 3.0\Uninstall\Install.log"
AElipce;5.0.2;nodevo;MsiExec.exe /qn /norestart /X{B6E869DB-B6AF-434F-8DA8-20CC878B3A35}
AElipce;6.0.1;nodevo;MsiExec.exe /qn /norestart /X{B6E869DB-B6AF-434F-8DA8-20CC878B3A35}
agentext;1.0.0.0;-;MsiExec.exe /qn /norestart /X{03B50D91-3170-6E4A-9860-8460AEFDF5A5}
AgileTime Suite Version 4;2.14.0.0;EquiTime;MsiExec.exe /qn /norestart /X{6F70868E-CA18-4EB2-B0B4-7124E7DBF282}
AgileTime Suite Version 4;2.8.5.0;EquiTime;MsiExec.exe /qn /norestart /X{6F70868E-CA18-4EB2-B0B4-7124E7DBF282}
Agirh v12.0 (supprimer uniquement);12.0;;"""c:\agirh_aixv12\uninstall.exe"""
Agirh v13.0 (supprimer uniquement);13.0;;"""c:\agirh_aixv12\uninstall.exe"""
Alcor Micro Smart Card Reader Driver;1.7.18.0;Alcor Micro Corp.;"""C:\Program Files\InstallShield Installation Information\{F24F876B-7D71-4BD6-88E9-614D3BB84218}\setup.exe"" -runfromtemp -removeonly"
Allplan 2016;2016.0;Allplan GmbH;"""C:\Program Files (x86)\InstallShield Installation Information\{ACB3FC35-AED3-45BE-AB10-0F6995A30282}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
Allplan 2016 QuickStart - EN;1.00.000;Allplan GmbH;"""C:\Program Files (x86)\InstallShield Installation Information\{62B75A7D-F5DA-409B-AF71-617AE8D81D23}\setup.exe"" -runfromtemp -l0x0409  -uninst -removeonly"
Allplan 2017;2017.0;Allplan GmbH;"""C:\Program Files (x86)\InstallShield Installation Information\{12E23097-10C6-4298-B2B3-A2C0032C7D53}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
Allplan 2018;2018.0;Allplan GmbH;"""C:\Program Files (x86)\InstallShield Installation Information\{364FB963-78C6-4DBE-B66C-F43295E11793}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
Allplan 2019;2019.0;Allplan GmbH;"""C:\Program Files (x86)\InstallShield Installation Information\{7EDCDF32-64F2-44FF-A48D-DD51A0978D9C}\setup.exe"" -runfromtemp -l0x040c  -removeonly"
Alltransfer 2017-0-0;2017-0-0;Allplan France;"""C:\Program Files (x86)\Nemetschek\Alltransfer\unins000.exe"" /SILENT"
Amazon Kindle;1.20.1.47037;Amazon;C:\Users\ALechat.ADCHA.003\AppData\Local\Amazon\Kindle\application\uninstall.exe
Amazon Kindle;1.26.0.55076;Amazon;C:\Users\Bloc_Gyn\AppData\Local\Amazon\Kindle\application\uninstall.exe
Amazon Music;7.2.3.1567;Amazon Services LLC;"""C:\Users\erasolofo\AppData\Local\Amazon Music\Uninstall.exe"""
Amazon Music;7.3.2.1595;Amazon Services LLC;"""c:\localdata\EEG\AppData\Local\Amazon Music\Uninstall.exe"""
Amazon Music;7.5.0.1823;Amazon Services LLC;"""c:\localdata\EEG\AppData\Local\Amazon Music\Uninstall.exe"""
AMD Catalyst Install Manager;3.0.851.0;Advanced Micro Devices, Inc.;msiexec /q/x{71CBB584-683D-33FC-1CE3-95414DC3B8C9} REBOOT=ReallySuppress
AMD Catalyst Install Manager;3.0.859.0;Advanced Micro Devices, Inc.;msiexec /q/x{C9F68DAE-A7EA-BC66-E5A0-1A11D773ED59} REBOOT=ReallySuppress
AMD Catalyst Install Manager;3.0.868.0;Advanced Micro Devices, Inc.;msiexec /q/x{818912C6-BD97-B888-53F1-1C64148A754F} REBOOT=ReallySuppress
AMD Catalyst Install Manager;8.0.911.0;Advanced Micro Devices, Inc.;msiexec /q/x{EE8ECCC7-4F32-5330-3600-8C84A3BF5713} REBOOT=ReallySuppress
AMD Catalyst Install Manager;8.0.916.0;Advanced Micro Devices, Inc.;msiexec /q/x{353AE2D9-6035-AC97-5B7E-DF473196038F} REBOOT=ReallySuppress
AMD Catalyst Install Manager;8.0.916.0;Advanced Micro Devices, Inc.;msiexec /q/x{6937A4D2-545B-B6C7-0A7B-DA2021BA34CE} REBOOT=ReallySuppress
AMD Catalyst Install Manager;8.0.916.0;Advanced Micro Devices, Inc.;msiexec /q/x{7E5DC2C5-115A-322B-976C-219237FAED66} REBOOT=ReallySuppress
AMD Catalyst Install Manager;8.0.916.0;Advanced Micro Devices, Inc.;msiexec /q/x{BB6BBCC5-87EE-8C6D-445A-5C546009AB1B} REBOOT=ReallySuppress
AMD Install Manager;9.0.000.4;Advanced Micro Devices, Inc.;"""C:\Program Files\AMD\CIM\Bin64\InstallManagerApp.exe"" /UNINSTALL /IGNORE_UPGRADE /ON_REBOOT_MESSAGE:NO"
Analyseur et SDK MSXML 4.0 SP2;4.20.9818.0;Microsoft Corporation;MsiExec.exe /qn /norestart /X{716E0306-8318-4364-8B8F-0CC4E9376BAC}
Anki;;;"""C:\Program Files (x86)\Anki\uninstall.exe"""
Ansur;2.9.6.1;Fluke Biomedical;MsiExec.exe /qn /norestart /X{1B608966-AD18-43B6-A25C-330934317604}
Ansur ESA620 Plug-In;1.1.10;FlukeBioMedical;MsiExec.exe /qn /norestart /X{F013D525-B82B-4D55-A3E7-A647B06B2F54}
Ansur ESA620 Plug-In;1.1.8.1;FlukeBioMedical;MsiExec.exe /qn /norestart /X{F013D525-B82B-4D55-A3E7-A647B06B2F54}
Ansur ESA620 Plug-In;1.2.6;Fluke Biomedical;MsiExec.exe /qn /norestart /X{F013D525-B82B-4D55-A3E7-A647B06B2F54}
Ansur Executive;3.0.0;Fluke Biomedical;MsiExec.exe /qn /norestart /X{1B608966-AD18-43B6-A25C-330934317604}
Ansur Executive;3.1.3;Fluke Biomedical;MsiExec.exe /qn /norestart /X{1B608966-AD18-43B6-A25C-330934317604}
Ansur Executive;3.1.4;Fluke Biomedical;MsiExec.exe /qn /norestart /X{1B608966-AD18-43B6-A25C-330934317604}
Ansur ProSim 8 Plug-In;1.0.2;Fluke Biomedical;MsiExec.exe /qn /norestart /X{F2FB9F0D-7019-4BD5-B39E-DFB948834888}
Ansur QA-4X Plug-In;2.2.3;Fluke Biomedical;MsiExec.exe /qn /norestart /X{7E470AEF-F7ED-4B08-A52A-743CB303DE81}
Ansur QA-90 Plug-In;2.2.2;Fluke Biomedical;MsiExec.exe /qn /norestart /X{B5600CC1-FAC3-4BB0-97C7-A84760049223}
Ansur QA-90 Plug-In;2.2.3;Fluke Biomedical;MsiExec.exe /qn /norestart /X{B5600CC1-FAC3-4BB0-97C7-A84760049223}
Ansur QA-ES Plug-In;1.4.7;Fluke Biomedical;MsiExec.exe /qn /norestart /X{F031DF6D-B8B1-42A5-8425-01BC93753AAA}
Antidote - Connectix 10;10.1.1877;Druide informatique inc.;MsiExec.exe /qn /norestart /X{134E0741-C569-4E8C-A7FC-7F95B14CAAB4}
Antidote 10;10.1.1877;Druide informatique inc.;MsiExec.exe /qn /norestart /X{134E0741-C569-4E8C-A7FC-7F95B14CAAB1}
Antidote 10 - English module;10.1.1877;Druide informatique inc.;MsiExec.exe /qn /norestart /X{134E0741-C569-4E8C-A7FC-7F95B14CAAB3}
Antidote 10 - Module français;10.1.1877;Druide informatique inc.;MsiExec.exe /qn /norestart /X{134E0741-C569-4E8C-A7FC-7F95B14CAAB2}
Apache HTTP Server 2.2.14;2.2.14;Apache Software Foundation;MsiExec.exe /qn /norestart /X{85262A06-2D8C-4BC1-B6ED-5A705D09CFFC}
Apix 6.9;6.9;;"C:\windows\system32\duninstall.exe ""c:\app\apix\install.log"""
ApneaLink;10.2;ResMed Ltd;MsiExec.exe /qn /norestart /X{45066460-A599-4197-9017-523645E8D3C2}
ApneaLink;9.30;ResMes Ltd;MsiExec.exe /qn /norestart /X{5435FB3F-659A-4BBC-95D3-2E93957CAA21}
Apowersoft Online Launcher version 1.7.5;1.7.5;APOWERSOFT LIMITED;"""C:\Users\046183\AppData\Local\Apowersoft\Apowersoft Online Launcher\unins000.exe"" /SILENT"
Appel Contextuel Intersystems;1.1.4;InterSystems SAS;MsiExec.exe /qn /norestart /X{75316EC3-B83D-49E4-BA94-F61843DFB21D}
AppelContextuel;1.0.0;InterSystems SAS;MsiExec.exe /qn /norestart /X{A58A1B4A-44DC-45B8-8A29-A64CE98A25FF}
Apple Application Support;1.2.1;Apple Inc.;MsiExec.exe /qn /norestart /X{553255F3-78FD-40F1-A6F8-6882140265FE}
Apple Application Support;2.3.6;Apple Inc.;MsiExec.exe /qn /norestart /X{46F044A5-CE8B-4196-984E-5BD6525E361D}
Apple Software Update;1.1.0.3;Apple Computer, Inc.;MsiExec.exe /qn /norestart /X{A260B422-70E1-41E2-957D-F76FA21266D5}
Apple Software Update;2.1.1.116;Apple Inc.;MsiExec.exe /qn /norestart /X{6956856F-B6B3-4BE0-BA0B-8F495BE32033}
Apple Software Update;2.1.3.127;Apple Inc.;MsiExec.exe /qn /norestart /X{789A5B64-9DD9-4BA5-915A-F0FC0A1B7BFE}
Apple Software Update;2.1.4.131;Apple Inc.;MsiExec.exe /qn /norestart /X{FFD1F7F1-1AC9-4BC4-A908-0686D635ABAF}
